,practice,pct,rate,rural_urban_code,mean_percentile,num_gps_june,num_gps_sept,CL,PH,PHAS,TOTAL,Value_imd,Value_satisfaction,Value_long_term_health,Value_over_65,Value_under_18,dispensing_patients,total_items,list_size,Principal Supplier,Principal System
18,A81022,00M,0.0,3.0,0.4745039095509275,5.0,5.0,421.91,97.0,26.84,545.7500000000001,27.7102365681353,60.7776750921839,55.5677871212461,20.1617401003904,20.2528350994609,0.0,266364.0,10551.75,TPP,SystmOne
19,A81023,00M,0.0,,0.5222544394489769,7.0,7.0,419.73000000000013,92.84,25.02,537.59,46.630895922330104,84.4518963122227,62.9892080624341,11.5309952115957,21.5504076614469,0.0,128240.0,7777.416666666668,TPP,SystmOne
20,A81025,00K,0.058823529411764705,4.0,0.5770822178543956,2.0,2.0,421.16,97.0,27.0,545.1600000000002,32.4712364686072,63.1380730114405,49.7252031642684,19.7017079624729,19.9374548953572,0.0,91635.0,4070.25,TPP,SystmOne
21,A81026,00M,0.0,4.0,0.5805746522860723,12.0,13.0,424.71,97.0,25.57,547.2800000000002,37.5964401882694,86.0204189411829,51.3242716301443,17.1081198436822,21.2013315964684,0.0,322106.0,14078.833333333332,TPP,SystmOne
22,A81027,00K,0.026200873362445413,4.0,0.4151476530374469,6.0,6.0,434.64,97.0,27.0,558.64,8.23829413524835,91.12862264851341,57.1817024367568,22.490650710545996,18.300673148840694,0.0,248165.0,13949.666666666668,TPP,SystmOne
23,A81029,00M,0.003676470588235294,,0.4568952093316992,4.0,4.0,434.98,93.47,27.0,555.45,48.2322652529115,73.5656084838423,66.0944545013588,13.103927702467802,20.069516857838,0.0,147560.0,5833.833333333334,TPP,SystmOne
24,A81030,00M,0.0,4.0,0.6204851850839179,8.0,10.0,427.61,97.0,27.0,551.6099999999999,28.1359696198374,86.20467653894009,50.2094365791655,19.433065705390803,21.4271669670654,0.0,261712.0,12789.0,TPP,SystmOne
25,A81031,00K,0.0,4.0,0.4542910365705801,9.0,10.0,412.79,91.17,25.630000000000006,529.59,35.146113504166,71.04160863972429,55.1295467717947,18.0532641998586,20.2529656689449,0.0,260959.0,12754.833333333332,TPP,SystmOne
26,A81032,00M,0.0,3.0,0.4426557530460158,9.0,8.0,420.2600000000001,97.0,27.0,544.26,19.635913420325803,87.33846789113409,57.0693867175937,23.6453671078945,18.449671459861,0.0,257264.0,10647.833333333334,TPP,SystmOne
27,A81033,00M,0.06329113924050633,4.0,0.47204033289513,4.0,4.0,396.49,91.51,27.0,515.0,50.64070438937,58.453157481431,58.510124148018505,15.168707076739302,19.396834876082398,0.0,101223.0,3391.833333333333,TPP,SystmOne
28,A81034,00K,0.02512562814070352,4.0,0.4510710743407397,,11.0,434.6,97.0,27.0,558.6,20.9880874741439,64.7865044770794,59.4331336277069,12.483338695592199,24.7570896722894,0.0,453466.0,21775.916666666664,TPP,SystmOne
29,A81035,00M,0.0,4.0,0.5249554376797553,5.0,5.0,435.0,96.81,25.37,557.18,44.041366626065795,68.8897254312128,51.8989686431021,15.151231388706801,21.850360520648,0.0,210367.0,10259.083333333334,EMIS,EMIS Web
30,A81036,00K,0.0,4.0,0.466985816513271,9.0,11.0,435.0,97.0,27.0,559.0,26.096492022645396,83.2010606631329,52.7398255933556,19.240665561209894,21.625021442049302,0.0,405685.0,17676.5,TPP,SystmOne
31,A81037,00M,0.0,,0.5482280254837621,4.0,4.0,391.78,97.0,27.0,515.78,47.4590997989661,70.1833516529089,57.7009255523252,13.387860525183001,22.918639690056,0.0,174837.0,6822.583333333332,TPP,SystmOne
32,A81038,00M,0.0,4.0,0.5793203128242966,2.0,2.0,405.46,97.0,24.49,526.9499999999998,47.9974169930702,70.0884087963955,46.389566751417206,12.473636637541402,26.8273576378427,0.0,95173.0,3353.583333333333,TPP,SystmOne
33,A81039,00K,0.07371007371007371,4.0,0.5165670991195445,7.0,8.0,435.0,97.0,27.0,559.0,9.34291884761503,86.4749340899853,58.800227716266,18.4993668214436,21.593499366821398,0.0,189354.0,9910.416666666666,EMIS,EMIS Web
34,A81040,00K,0.0,4.0,0.4916214224673395,8.0,5.0,428.57000000000005,97.0,27.0,552.57,23.6427126557224,80.0979806557086,56.524668610719786,16.833527357392303,20.7357392316647,0.0,187269.0,8627.166666666666,EMIS,EMIS Web
35,A81041,00K,0.0,4.0,0.4036154231159704,5.0,5.0,432.0,97.0,27.0,556.0,34.1787125055139,78.63595124796129,61.3024733752751,19.6164866651973,18.225699801631,0.0,184732.0,9144.916666666668,TPP,SystmOne
36,A81042,00M,0.008152173913043478,3.0,0.4619953534236667,5.0,6.0,428.13,97.0,27.0,552.13,45.631050456585704,72.4323582363279,69.0479954398924,15.6941649899396,23.340040241448694,0.0,306140.0,9816.0,TPP,SystmOne
37,A81043,00M,0.004705882352941176,3.0,0.5807466461987316,7.0,9.0,421.25,96.19,27.0,544.4399999999998,32.3245892923998,73.32378481796829,58.521136388704996,21.4152002995133,19.792836640459303,0.0,233182.0,8193.749999999998,EMIS,EMIS Web
38,A81044,00K,0.005154639175257732,4.0,0.3900472891605847,6.0,8.0,435.0,97.0,27.0,559.0,30.6203960467989,55.6089895158005,61.894810544631994,18.9012426422498,19.289295836058397,0.0,503539.0,19194.666666666668,TPP,SystmOne
39,A81045,00M,0.0,3.0,0.4615194234368961,2.0,2.0,430.99,97.0,27.0,554.99,27.5999660751566,80.50182438955359,61.305170087742795,21.6638458534045,19.8880354120557,0.0,240579.0,7632.916666666668,TPP,SystmOne
40,A81046,00K,0.03291139240506329,,0.4962571685174855,7.0,7.0,429.31,92.68,26.95,548.9399999999998,29.0620707181455,73.53394839041091,62.899033366390896,20.415035238841,19.2466718872357,0.0,270635.0,12795.75,TPP,SystmOne
41,A81047,00M,0.0,3.0,0.3832308719290309,,,320.29,70.82,24.0,415.11,14.1313136160714,59.5216743447602,56.79877819699921,28.218005952381002,16.2983630952381,0.0,70220.0,2536.916666666667,TPP,SystmOne
42,A81048,00M,0.003472222222222222,3.0,0.4773609322912751,7.0,7.0,435.0,97.0,27.0,559.0,15.6654640960063,62.06581683989661,55.4794946700216,27.0100255553371,18.1521525457047,0.0,212236.0,6222.166666666668,TPP,SystmOne
43,A81049,00M,0.0,4.0,0.4890750685131599,2.0,2.0,423.21,97.0,27.0,547.21,49.487518403790105,72.78987591782601,57.4106236204813,16.1078717201166,22.7332361516035,0.0,173351.0,5568.25,TPP,SystmOne
44,A81051,00M,0.0,4.0,0.5138591092429763,4.0,8.0,419.43,92.81,27.0,539.24,27.820175203572397,91.29467550844973,60.03351217391501,19.496195224350604,19.971136184728397,0.0,165472.0,7788.166666666666,TPP,SystmOne
45,A81052,00M,0.0036101083032490976,3.0,0.4919378343852247,4.0,4.0,426.73,95.45,25.25,547.4300000000002,27.962237845823307,70.0196837165024,64.1303903899903,20.6198014488865,19.0850550040247,0.0,226276.0,8068.333333333332,TPP,SystmOne
46,A81053,00M,0.0,3.0,0.6125831831058629,3.0,3.0,425.38000000000005,97.0,27.0,549.3800000000001,38.6403443155453,80.0591413659128,63.580849282533705,21.2960098979276,19.965975873801398,0.0,224925.0,6442.5,EMIS,EMIS Web
47,A81054,00M,0.0,,0.4970644217856736,4.0,4.0,427.06,97.0,27.0,551.06,27.689832395247002,72.6869832388799,65.9491621923472,18.226108682073697,20.1024359775141,0.0,230017.0,8104.083333333334,TPP,SystmOne
48,A81056,00K,0.0,4.0,0.3454657222314662,2.0,2.0,435.0,97.0,27.0,559.0,24.016176401869195,95.02949405210079,63.1248487657989,20.404984423675998,17.4922118380062,0.0,55864.0,2576.416666666667,TPP,SystmOne
49,A81057,00K,0.0,4.0,0.4758022781756261,6.0,6.0,429.77,95.8,27.0,552.5699999999998,25.3090237823005,86.98800291339509,66.14846904040529,16.1408321902149,22.247370827617694,0.0,195178.0,8848.416666666666,TPP,SystmOne
50,A81058,00M,0.0,4.0,0.5047197106243321,5.0,5.0,432.79,93.08,27.0,552.87,27.6086982059801,53.1459089853889,61.943770516035,18.0551870522685,24.4812947731494,0.0,184806.0,8154.75,EMIS,EMIS Web
51,A81060,00K,0.0,4.0,0.4783499328767086,4.0,4.0,405.22,94.28,25.74,525.24,31.6996736378646,89.41463010858222,60.9875021012196,19.225830122913198,20.7925151348376,0.0,101883.0,5659.833333333334,TPP,SystmOne
52,A81063,00K,0.019230769230769232,4.0,0.3014091198463973,2.0,2.0,422.65,96.21,27.0,545.86,36.148116601160396,90.1400823707047,59.182394633040296,18.110383536015,21.7661365762395,0.0,120620.0,5430.416666666667,EMIS,EMIS Web
53,A81064,00M,0.0,,0.4999804203862792,3.0,3.0,398.7000000000001,97.0,26.23,521.9300000000002,43.760775,75.3248856663561,45.6150202720022,12.558943728387304,20.1854762653254,0.0,118150.0,6382.583333333334,TPP,SystmOne
54,A81065,00M,0.014285714285714285,3.0,0.4120438463624559,3.0,3.0,409.20999999999987,93.51,27.0,529.7199999999998,48.5491372321945,84.591834342981,66.69194582157539,13.4337000579039,23.4452808338159,0.0,108862.0,3807.75,TPP,SystmOne
55,A81066,00K,0.0,4.0,0.5179194733588655,2.0,3.0,432.68,88.38,27.0,548.06,14.4624101789449,87.4384292977895,51.423669755952,20.6688341848583,18.7320018578727,3221.0,100975.0,4350.583333333333,EMIS,EMIS Web
56,A81067,00K,0.09302325581395349,4.0,0.5380462234425892,5.0,7.0,434.26,97.0,25.44,556.7,39.771779044568,78.6522969603909,61.84138247917279,11.0315591144607,22.0555817239755,0.0,210183.0,10842.0,TPP,SystmOne
57,A81070,00K,0.0,4.0,0.5055664659159175,1.0,1.0,415.5,87.0,25.7,528.1999999999998,42.855391992091,81.1758712698818,65.8878502722078,9.787444389520507,28.887790410281802,0.0,65525.0,2591.333333333333,TPP,SystmOne
58,A81602,00K,0.0,4.0,0.42661522452052775,,1.0,427.92,91.54,27.0,546.46,21.7176780740151,95.47625208347158,55.7787443592759,25.308396339037,16.1241543971349,0.0,73621.0,2508.083333333333,EMIS,EMIS Web
59,A81608,00K,0.0,4.0,0.4966685377691112,2.0,2.0,428.41,97.0,27.0,552.4100000000002,37.335381013884394,82.5887676431935,54.49032538648729,9.78050355067786,28.0955455132343,0.0,103822.0,3564.916666666666,TPP,SystmOne
60,A81610,00K,0.0,4.0,0.4744939913058686,4.0,4.0,415.79,91.91,26.68,534.3799999999999,22.820724534769802,70.1658747950936,56.30691198876579,15.254652301665,22.061704211557302,0.0,167482.0,7980.083333333334,EMIS,EMIS Web
61,A81611,00M,0.0,4.0,0.4223056470510414,7.0,8.0,432.32,94.6,27.0,553.92,25.777638206845197,87.0078858868968,57.0066261897062,16.1655530809206,22.9584261321455,0.0,133144.0,6594.250000000001,EMIS,EMIS Web
62,A81612,00K,0.09154929577464789,4.0,0.4202194011917368,2.0,2.0,434.62,97.0,27.0,558.62,22.057191965755703,85.6176689761601,49.727474485790005,19.651086240948,19.519420671494398,0.0,62186.0,3198.0,TPP,SystmOne
63,A81618,00M,0.09550561797752809,3.0,0.5904069442769009,6.0,6.0,435.0,97.0,27.0,559.0,21.3563162196679,94.6701947345908,66.360592885092,23.8356513972183,17.8486665816001,0.0,232514.0,8708.416666666666,EMIS,EMIS Web
64,A81621,00M,0.0,4.0,0.4863536587622629,3.0,3.0,416.0100000000001,95.28,27.0,538.2900000000002,65.5686510277033,65.93978267279411,71.6015563903649,6.4789991063449515,35.2278820375335,0.0,52679.0,2286.9166666666665,TPP,SystmOne
65,A81622,00K,0.0,4.0,0.3733276962674997,3.0,3.0,435.0,97.0,27.0,559.0,37.6672454704851,85.15290625772059,67.228348613925,16.501264837517,23.1367970422261,0.0,106050.0,5394.75,TPP,SystmOne
66,A81629,00K,0.0,4.0,0.4774444895274789,2.0,2.0,428.43,97.0,27.0,552.4300000000002,36.1736156003059,82.6062798815728,54.32584501530311,17.1297476421106,21.3815957175631,0.0,108792.0,4579.0,TPP,SystmOne
67,A81631,00K,0.0,4.0,0.467730038934244,4.0,4.0,427.60999999999984,94.73,27.0,549.3399999999998,34.0212731974922,85.0901241401167,63.86722891340821,17.3327064723398,22.8177401661182,0.0,120290.0,6591.916666666668,TPP,SystmOne
68,A82003,01K,0.0,1.0,0.4212240016792215,8.0,8.0,418.31,96.37,27.0,541.6800000000002,15.5199748752834,92.72961753914171,49.8468362782559,24.734693877551,17.0902494331066,0.0,189659.0,11008.833333333336,EMIS,EMIS Web
69,A82004,01H,0.0,1.0,0.4404670825470868,,,433.85,78.4,26.93,539.18,19.059456540825305,93.78274112274772,53.785345319305705,24.187884108867397,14.3810359964881,1087.0,62944.0,2244.4999999999995,EMIS,EMIS Web
70,A82005,01K,0.0034965034965034965,1.0,0.4437820895779317,4.0,4.0,429.73,96.07,27.0,552.8,12.4883159140209,92.8360368127963,52.4665302278062,22.3439639992174,12.525924476619101,0.0,112900.0,6345.25,EMIS,EMIS Web
71,A82006,01H,0.005813953488372093,1.0,0.4204040366817882,4.0,4.0,432.77,95.33,27.0,555.1,15.0698733249581,83.04726265955621,51.8031532679424,27.931323283082104,16.0678391959799,0.0,103856.0,4830.916666666667,EMIS,EMIS Web
72,A82007,01K,0.04392764857881137,3.0,0.4745524581049734,6.0,6.0,435.0,97.0,27.0,559.0,35.5425959384486,80.87825722395691,60.978247177441,19.5331309536271,20.57364178792,0.0,243057.0,9528.583333333334,EMIS,EMIS Web
73,A82008,01K,0.0,3.0,0.5311843365931268,7.0,7.0,421.27,96.88,26.76,544.9100000000002,31.9610107851202,54.7668753890075,63.064733789937705,22.5025134814002,19.2450415866923,0.0,275053.0,10957.0,EMIS,EMIS Web
74,A82009,01K,0.0,3.0,0.3659320440417653,7.0,7.0,435.0,97.0,27.0,559.0,34.6143173381621,82.72606708280509,60.7390458004702,20.948392937981,19.866455409687603,0.0,245085.0,8961.666666666668,EMIS,EMIS Web
75,A82010,01K,0.06227106227106227,3.0,0.5260872591701332,4.0,4.0,426.08,96.49,19.59,542.16,27.0954917052757,63.8422479696444,58.84363978642021,17.695411747123,19.5486474368555,0.0,160101.0,6680.083333333334,EMIS,EMIS Web
76,A82012,01H,0.003083247687564234,3.0,0.4826593643848064,12.0,12.0,426.73,97.0,27.0,550.73,15.196262630183101,89.19266455215401,64.3599050032261,25.321777375331504,17.733652415755802,11116.0,412902.0,15660.833333333336,EMIS,EMIS Web
77,A82013,01H,0.0,1.0,0.480907423723821,8.0,8.0,424.62,87.0,27.0,538.62,19.1478558063558,94.6574147703236,56.0331533664683,27.294327294327307,16.964656964657,4415.0,168467.0,6802.083333333332,EMIS,EMIS Web
78,A82014,01H,0.0,1.0,0.3794823681011074,5.0,6.0,429.3,93.94,26.5,549.74,15.996532879286,98.7558754371391,42.6679042486377,28.1117895725693,14.687646782527,3787.0,118317.0,4210.333333333333,EMIS,EMIS Web
79,A82015,01H,0.05263157894736842,3.0,0.4116404853368797,2.0,1.0,435.0,87.0,27.0,549.0,29.265464426170894,54.8640829248151,59.34220744172179,18.602573266619,17.944960686204396,0.0,115902.0,5543.333333333332,EMIS,EMIS Web
80,A82016,01H,0.014626218851570965,3.0,0.5330154159970908,,,435.0,97.0,27.0,559.0,23.703779439779897,56.9753245610518,62.1902325232685,20.7801368413628,19.5513860478239,0.0,696990.0,36065.08333333333,EMIS,EMIS Web
81,A82018,01H,0.011787819253438114,3.0,0.4598626299869488,8.0,9.0,434.17,93.32,27.0,554.49,24.2527312018946,85.77660569642559,47.5751344738105,18.366311516996397,18.7789616100118,0.0,196638.0,12115.416666666668,EMIS,EMIS Web
82,A82019,01H,0.01256281407035176,3.0,0.3384661891199941,7.0,7.0,374.00999999999993,96.79,26.380000000000006,497.18,24.555900847556,70.4921149374601,53.3863794190419,17.8463680668369,19.8584358319796,0.0,158713.0,8466.416666666666,EMIS,EMIS Web
83,A82020,01H,0.022792022792022793,3.0,0.4710875675679311,8.0,8.0,413.63000000000005,96.07,26.25,535.95,25.354595525405998,70.4198070557084,54.263808413150606,18.4608367001173,20.619053825101,0.0,252404.0,15287.916666666664,EMIS,EMIS Web
84,A82021,01H,0.0062056737588652485,1.0,0.42761125315796455,9.0,11.0,435.0,97.0,27.0,559.0,13.184291447682801,74.96586332148671,52.6306057744275,22.7498566787693,18.885916300401306,3285.0,365952.0,17124.75,EMIS,EMIS Web
85,A82022,01H,0.036065573770491806,3.0,0.4616441977084844,5.0,5.0,433.34,97.0,27.0,557.3399999999998,15.438391089108901,69.531984010342,50.2399365638966,25.1533742331288,18.2584603206016,3999.0,131211.0,5123.333333333334,EMIS,EMIS Web
86,A82023,01H,0.002325581395348837,1.0,0.3130154430277868,6.0,6.0,434.4500000000001,97.0,27.0,558.45,25.259983910891105,95.7019675823974,63.81848464006151,24.25142291512,17.5303142786439,3009.0,126327.0,4294.333333333334,EMIS,EMIS Web
87,A82024,01H,0.0,1.0,0.4399220659161244,5.0,7.0,432.28,97.0,27.0,556.28,14.0975209709084,87.36758100379991,56.3718558997614,28.823844369088,15.5381045868285,3838.0,139239.0,5624.0,EMIS,EMIS Web
88,A82025,01K,0.0,1.0,0.4788851271590912,7.0,7.0,423.67,90.68,27.0,541.3499999999998,13.369520108923302,92.1761955548197,58.615271065277604,20.2848465807938,18.632317520159198,0.0,186267.0,9805.166666666668,EMIS,EMIS Web
89,A82026,01K,0.0,1.0,0.4283600191118282,7.0,7.0,424.56,90.04,27.0,541.5999999999998,11.7657649464694,91.0947198818788,45.9472726900887,23.048237699987997,18.9955491399014,3778.0,348497.0,17095.0,EMIS,EMIS Web
90,A82027,01K,0.0,1.0,0.3828632486801135,10.0,10.0,417.24,95.34,27.0,539.58,12.4800099460074,70.1003837164778,60.7695533794802,24.0954726273916,16.2625497253268,1876.0,239529.0,10349.083333333332,EMIS,EMIS Web
91,A82028,01H,0.05893909626719057,1.0,0.40872154258426735,7.0,7.0,434.96,97.0,27.0,558.96,11.610200764526,92.7863680713133,53.0064359929479,27.232415902140694,15.614678899082598,2438.0,161578.0,7467.75,EMIS,EMIS Web
92,A82029,01H,0.0,1.0,0.3767971958641197,4.0,4.0,420.63,96.96,27.0,544.59,18.124614294152398,89.36988350674909,57.122879474613285,23.9564961787184,17.942386831275698,3116.0,74160.0,3482.25,EMIS,EMIS Web
93,A82030,01K,0.0,2.0,0.4560126223438167,7.0,7.0,424.64999999999986,89.29,27.0,540.9399999999998,10.857617970049901,97.3558014817719,58.18218155034951,28.286189683860197,16.3460898502496,3930.0,152984.0,6001.75,EMIS,EMIS Web
94,A82031,01H,0.0,1.0,0.4172146852594845,3.0,3.0,434.88,97.0,27.0,558.88,14.508625128733303,92.83228645750609,56.7783627226843,23.7212495708891,17.0889117748026,2855.0,74514.0,2945.916666666666,EMIS,EMIS Web
95,A82032,01H,0.1939799331103679,1.0,0.4540748217109679,10.0,11.0,435.0,97.0,27.0,559.0,31.662343887101496,74.8241763100305,63.8255554624801,22.491956712489,18.974846446329305,0.0,360315.0,13700.916666666664,EMIS,EMIS Web
96,A82033,01K,0.0,1.0,0.5274715438938368,6.0,6.0,408.52999999999986,79.3,25.25,513.0799999999998,27.392265667736893,85.6719154754545,67.3258148202172,23.914853133547396,18.3232251159472,0.0,192619.0,8345.25,EMIS,EMIS Web
97,A82034,01K,0.0,1.0,0.4772063123324962,6.0,6.0,433.18000000000006,97.0,27.0,557.1800000000002,8.437960307878049,95.36406814960259,64.66300612312922,33.0817989737398,16.3386658617567,2545.0,165259.0,6579.0,EMIS,EMIS Web
98,A82035,01H,0.012228260869565218,1.0,0.4972143493103992,13.0,12.0,419.86,96.27,26.81,542.94,14.2423380374138,71.0031498978766,55.94033391544029,23.642927469642306,17.713160485723698,0.0,258243.0,14676.25,EMIS,EMIS Web
99,A82036,01H,0.0,1.0,0.3734054685410484,6.0,6.0,423.20999999999987,96.83,27.0,547.04,14.261948530181,78.87782883038209,59.064849781770704,24.6469295951459,16.606339575269402,0.0,186728.0,9995.833333333334,EMIS,EMIS Web
100,A82037,01H,0.0,1.0,0.3169541998882831,3.0,3.0,435.0,97.0,27.0,559.0,22.5386614620298,86.3716372032037,57.396058121044206,30.210551218358198,15.254317482848403,0.0,128204.0,4191.666666666667,EMIS,EMIS Web
101,A82038,01H,0.20512820512820512,1.0,0.3957748512164225,3.0,3.0,419.53,76.24,27.0,522.77,15.9223712804328,85.0876680446444,51.010745938582296,22.0018034265104,20.175834084761,3714.0,87035.0,4518.583333333333,EMIS,EMIS Web
102,A82039,01K,0.0,3.0,0.4143131915637082,9.0,9.0,419.39,95.25,27.0,541.64,18.816958623128606,85.65562174757291,52.788040590813104,22.032299893905506,18.1020865259932,0.0,166060.0,8565.416666666666,EMIS,EMIS Web
103,A82041,01H,0.10252808988764045,1.0,0.4966375792598811,1.0,1.0,431.15,92.16,27.0,550.3100000000002,28.5577637818613,48.6471863697608,50.744510761533796,19.0673779885398,20.671803991306106,0.0,274229.0,9915.5,EMIS,EMIS Web
104,A82044,01H,0.13238289205702647,1.0,0.5499703525989303,7.0,7.0,412.63000000000005,95.05,27.0,534.6800000000002,27.5984604965137,68.94025710991299,44.399159917733705,19.824140687449997,19.1979749533706,0.0,591376.0,22698.583333333336,EMIS,EMIS Web
105,A82045,01H,0.0,1.0,0.4802904359558498,,,425.8,92.26,27.0,545.0600000000002,18.7976969444775,95.44680677497057,53.149884654529295,21.791825095057,19.584125475285198,0.0,198058.0,8607.833333333332,EMIS,EMIS Web
106,A82046,01K,0.0,1.0,0.4108346607270289,3.0,3.0,425.43,97.0,26.85,549.2800000000002,11.1802419270379,90.9793612302849,41.9779209665556,21.3451820874717,16.786896671894098,0.0,94355.0,5844.75,EMIS,EMIS Web
107,A82047,01H,0.0379746835443038,1.0,0.5423131365929903,8.0,8.0,433.38,97.0,26.97,557.35,30.3477747406003,60.5201036190163,61.3022482450984,21.5887537654803,18.4826508981368,0.0,253125.0,8999.75,EMIS,EMIS Web
108,A82048,01H,0.14285714285714285,,0.4311767211871536,1.0,3.0,412.68,82.37,24.0,519.05,28.595706870910202,83.89107740674709,52.2224238422176,18.6793575252826,20.348007138608,0.0,128032.0,6575.416666666668,EMIS,EMIS Web
109,A82049,01H,0.08646616541353383,1.0,0.4240067929028067,3.0,3.0,435.0,97.0,24.0,556.0,29.571060829493106,84.43468843847671,61.6323907968553,20.1031877648793,19.4914317302377,0.0,127796.0,5579.0,EMIS,EMIS Web
110,A82050,01H,0.01020408163265306,1.0,0.5216429715128514,3.0,3.0,428.82,97.0,27.0,552.8199999999998,27.2114857023295,73.7802804338817,59.51685732135329,19.9442119944212,19.704323570432397,0.0,193817.0,7156.416666666668,EMIS,EMIS Web
111,A82053,01K,0.0,1.0,0.3422707963293369,4.0,4.0,435.0,97.0,27.0,559.0,11.401314376996801,93.0404202878283,51.87639785145289,38.7007454739084,11.484558040468599,0.0,129137.0,4798.416666666666,EMIS,EMIS Web
112,A82055,01H,0.0,1.0,0.3594634097003687,5.0,5.0,434.56,95.4,27.0,556.96,21.277794431621498,85.13062483885629,55.0918128780058,23.6694071830376,17.9085532958315,0.0,174614.0,6898.333333333332,EMIS,EMIS Web
113,A82058,01H,0.03559870550161812,1.0,0.4400913625208015,,1.0,435.0,97.0,27.0,559.0,25.5168939096267,88.81785529593229,67.2696377496288,19.1060903732809,18.880157170923397,0.0,107659.0,4191.25,EMIS,EMIS Web
